北京,335775,33994,266007,35775,26.2,12.8,13.5
天津,239370,24253,190476,24641,25.7,12.7,12.9
河北,1155542,210653,827323,117567,39.7,25.5,14.2
山西,569491,85703,431465,52324,32,19.9,12.1
内蒙古,390222,51002,301933,37288,29.2,16.9,12.4
辽宁,680859,72220,521044,87595,30.7,13.9,16.8
吉林,428511,51351,330390,46769,29.7,15.5,14.2
黑龙江,592705,62674,465792,64239,27.3,13.5,13.8
上海,373956,34935,291086,47936,28.5,12,16.5
江苏,1238192,167898,913159,157135,35.6,18.4,17.2
浙江,859773,111031,651886,96855,31.9,17,14.9
安徽,955845,169869,679081,106895,40.8,25,15.7
福建,596224,104768,437763,53694,36.2,23.9,12.3
江西,710552,152541,493623,64388,44,30.9,13
山东,1530763,250337,1101954,178471,38.9,22.7,16.2
河南,1476154,309790,1020949,145415,44.6,30.3,14.2
湖北,909271,138022,669102,102146,35.9,20.6,15.3
湖南,1056139,194440,743164,118534,42.1,26.2,16
广东,1681666,269349,1288354,123964,30.5,20.9,9.6
广西,747093,169026,505127,72940,47.9,33.5,14.4
海南,141596,28058,101585,11954,39.4,27.6,11.8
重庆,468563,73101,333180,62282,40.6,21.9,18.7
四川,1277289,202831,909185,165273,40.5,22.3,18.2
贵州,550172,123464,374559,52149,46.9,33,13.9
云南,738612,141197,535328,62088,38,26.4,11.6
西藏,50634,11932,35812,2890,41.4,33.3,8.1
陕西,589346,88688,439664,60994,34,20.2,13.9
甘肃,404863,69226,297726,37912,36,23.3,12.7
青海,91611,18381,66728,6502,37.3,27.6,9.7
宁夏,103820,20862,75315,7643,37.9,27.7,10.2
新疆,367631,80217,261207,26207,40.7,30.7,10
